BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,815.0,16,12888.1
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,800.0,101,79949.1
TQBR,2014-06-17,809.9,558,435348.6
TQBR,2014-06-18,810.3,45,36308.2
TQBR,2014-06-19,799.6,23,18197.2
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,804.7,10,7928.0
TQBR,2014-06-24,787.1,42,33331.8
TQBR,2014-06-25,799.6,49,39085.6
TQBR,2014-06-26,798.9,7,5534.2
TQBR,2014-06-27,771.7,2,1526.1
TQBR,2014-06-30,814.9,57,46413.8
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,800.1,3,2400.4
TQBR,2014-07-03,790.4,37,29503.0
TQBR,2014-07-04,783.0,2,1581.7
TQBR,2014-07-07,796.3,93,73900.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,790.0,11,8690.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,785.0,15,11736.5
TQBR,2014-07-16,731.5,36,26627.5
TQBR,2014-07-17,785.6,10,7856.0
TQBR,2014-07-18,731.5,5,3691.7
TQBR,2014-07-21,780.6,2,1568.1
TQBR,2014-07-22,781.7,72,53135.2
TQBR,2014-07-23,750.0,2,1521.6
TQBR,2014-07-24,749.9,1,749.9
TQBR,2014-07-25,750.0,3,2250.0
TQBR,2014-07-28,705.0,461,327570.0
TQBR,2014-07-29,720.0,3,2180.4
TQBR,2014-07-30,735.0,235,172749.5
TQBR,2014-07-31,703.1,111,78875.8
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,715.0,1,715.0
TQBR,2014-08-05,729.4,1,729.4
TQBR,2014-08-06,664.9,323,207274.2
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,629.0,82,51527.3
TQBR,2014-08-12,620.0,29,18033.1
TQBR,2014-08-13,665.0,6,4012.9
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,650.8,72,46816.1
TQBR,2014-08-19,641.3,2,1282.7
TQBR,2014-08-20,690.4,1,690.4
TQBR,2014-08-21,650.0,329,213920.8
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,640.0,1,640.0
TQBR,2014-08-26,625.0,6,3750.3
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,649.9,5,3219.5
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,650.0,191,122982.3
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,650.0,127,82450.0
TQBR,2014-09-08,649.0,1,649.0
TQBR,2014-09-09,649.0,1,649.0
TQBR,2014-09-10,718.0,4780,3373063.2
TQBR,2014-09-11,725.1,1198,870520.9
TQBR,2014-09-12,746.4,5,3731.9
TQBR,2014-09-15,742.9,138,97115.2
TQBR,2014-09-16,668.0,506,339466.9
TQBR,2014-09-17,630.0,900,554367.2
TQBR,2014-09-18,610.3,63,40026.9
TQBR,2014-09-19,644.6,45,27860.3
TQBR,2014-09-22,650.0,106,67313.9
TQBR,2014-09-23,585.0,232,135405.8
TQBR,2014-09-24,643.9,140,87002.4
TQBR,2014-09-25,600.0,15,9027.0
TQBR,2014-09-26,642.8,299,173727.7
TQBR,2014-09-29,639.2,36,22099.2
TQBR,2014-09-30,585.0,184,108482.6
TQBR,2014-10-01,600.0,248,149121.0
TQBR,2014-10-02,641.0,66,40413.0
TQBR,2014-10-03,650.0,206,136211.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,678.0,199,131617.0
TQBR,2014-10-08,706.0,179,124638.0
TQBR,2014-10-09,720.0,150,107504.0
TQBR,2014-10-10,701.0,55,38555.0
TQBR,2014-10-13,698.0,31,21399.0
TQBR,2014-10-14,700.0,51,35696.0
TQBR,2014-10-15,711.0,1,711.0
TQBR,2014-10-16,706.0,8,5419.0
TQBR,2014-10-17,703.0,1,703.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,640.0,18,11573.0
TQBR,2014-10-23,677.0,165,112363.0
TQBR,2014-10-24,686.0,1,686.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,675.0,3,1945.0
