BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.10596,1640000,172269.4
TQBR,2014-06-10,0.10598,1070000,112904.1
TQBR,2014-06-11,0.10588,130000,13648.0
TQBR,2014-06-16,0.1057,2730000,282848.1
TQBR,2014-06-17,0.1058,2900000,306935.1
TQBR,2014-06-18,0.10461,14890000,1558867.4
TQBR,2014-06-19,0.106,2190000,231718.8
TQBR,2014-06-20,0.10399,4190000,437854.9
TQBR,2014-06-23,0.10299,4330000,444388.8
TQBR,2014-06-24,0.1024,11490000,1174245.3
TQBR,2014-06-25,0.102,1520000,155211.3
TQBR,2014-06-26,0.10201,3450000,353338.2
TQBR,2014-06-27,0.10274,760000,77869.4
TQBR,2014-06-30,0.10288,1240000,127199.8
TQBR,2014-07-01,0.10306,5110000,523077.9
TQBR,2014-07-02,0.10843,10310000,1117289.7
TQBR,2014-07-03,0.10983,1980000,214113.0
TQBR,2014-07-04,0.10851,3170000,343633.8
TQBR,2014-07-07,0.10673,5570000,593873.9
TQBR,2014-07-08,0.10844,5400000,578859.0
TQBR,2014-07-09,0.10998,2220000,240905.0
TQBR,2014-07-10,0.12,56580000,6909155.1
TQBR,2014-07-11,0.12,20570000,2456831.8
TQBR,2014-07-14,0.11997,2990000,360079.8
TQBR,2014-07-15,0.11685,12700000,1481653.8
TQBR,2014-07-16,0.11403,11110000,1280157.9
TQBR,2014-07-17,0.11,16950000,1873539.9
TQBR,2014-07-18,0.11675,10490000,1180564.6
TQBR,2014-07-21,0.10848,29560000,3244081.5
TQBR,2014-07-22,0.10799,37170000,4064626.8
TQBR,2014-07-23,0.10789,14200000,1520139.5
TQBR,2014-07-24,0.10725,5090000,543260.2
TQBR,2014-07-25,0.10717,9930000,1055961.4
TQBR,2014-07-28,0.10388,12330000,1287953.0
TQBR,2014-07-29,0.1048,1820000,188918.6
TQBR,2014-07-30,0.1037,13910000,1433917.4
TQBR,2014-07-31,0.1032,3840000,399160.4
TQBR,2014-08-01,0.1036,1140000,117724.7
TQBR,2014-08-04,0.10499,3420000,359670.7
TQBR,2014-08-05,0.10471,7640000,799466.6
TQBR,2014-08-06,0.10428,3050000,316941.3
TQBR,2014-08-07,0.10446,3720000,389720.4
TQBR,2014-08-08,0.10293,16820000,1728962.1
TQBR,2014-08-11,0.10401,9290000,967759.1
TQBR,2014-08-12,0.10319,12970000,1348062.9
TQBR,2014-08-13,0.1035,4620000,477239.6
TQBR,2014-08-14,0.10329,5230000,536888.7
TQBR,2014-08-15,0.1033,10740000,1113187.1
TQBR,2014-08-18,0.10351,1740000,180649.5
TQBR,2014-08-19,0.10391,10200000,1049740.7
TQBR,2014-08-20,0.10303,8150000,838313.3
TQBR,2014-08-21,0.1039,380000,39425.7
TQBR,2014-08-22,0.10396,1090000,112952.7
TQBR,2014-08-25,0.10381,5200000,542078.8
TQBR,2014-08-26,0.10332,1850000,190551.3
TQBR,2014-08-27,0.10434,11820000,1236771.5
TQBR,2014-08-28,0.10349,5610000,578505.9
TQBR,2014-08-29,0.103,3670000,379405.7
TQBR,2014-09-01,0.1034,4450000,458713.2
TQBR,2014-09-02,0.102,10350000,1050922.7
TQBR,2014-09-03,0.10229,6420000,658877.9
TQBR,2014-09-04,0.10141,17240000,1741873.7
TQBR,2014-09-05,0.10264,7040000,720526.4
TQBR,2014-09-08,0.10175,20440000,2065107.1
TQBR,2014-09-09,0.10114,7510000,762580.5
TQBR,2014-09-10,0.10191,6230000,631322.6
TQBR,2014-09-11,0.10273,21140000,2144982.5
TQBR,2014-09-12,0.10154,2280000,232474.1
TQBR,2014-09-15,0.10177,2950000,300138.3
TQBR,2014-09-16,0.1015,7310000,747118.9
TQBR,2014-09-17,0.09882,38740000,3851937.9
TQBR,2014-09-18,0.09877,14580000,1435258.6
TQBR,2014-09-19,0.09999,26150000,2599281.1
TQBR,2014-09-22,0.09959,4140000,414129.9
TQBR,2014-09-23,0.09902,4710000,469138.5
TQBR,2014-09-24,0.09711,23610000,2309999.1
TQBR,2014-09-25,0.09749,4950000,484630.1
TQBR,2014-09-26,0.0984,1270000,125772.1
TQBR,2014-09-29,0.09638,14550000,1400334.3
TQBR,2014-09-30,0.09599,5440000,520275.8
TQBR,2014-10-01,0.099,13890000,1361740.0
TQBR,2014-10-02,0.1,17630000,1759040.0
TQBR,2014-10-03,0.1,9920000,996975.0
TQBR,2014-10-06,0.1005,12970000,1302725.0
TQBR,2014-10-07,0.099,12330000,1223800.0
TQBR,2014-10-08,0.097,6090000,588755.0
TQBR,2014-10-09,0.096,10660000,1016990.0
TQBR,2014-10-10,0.0925,11950000,1112770.0
TQBR,2014-10-13,0.0925,8010000,743435.0
TQBR,2014-10-14,0.094,13320000,1238770.0
TQBR,2014-10-15,0.095,5780000,548850.0
TQBR,2014-10-16,0.0935,3180000,295310.0
TQBR,2014-10-17,0.0935,2530000,237985.0
TQBR,2014-10-20,0.093,6580000,606930.0
TQBR,2014-10-21,0.0935,2440000,224070.0
TQBR,2014-10-22,0.0945,11490000,1104335.0
TQBR,2014-10-23,0.0955,1260000,119975.0
TQBR,2014-10-24,0.095,440000,41845.0
TQBR,2014-10-27,0.096,7420000,716850.0
TQBR,2014-10-28,0.0975,3970000,385400.0
TQBR,2014-10-29,0.098,3730000,364375.0
TQBR,2014-10-30,0.0975,1410000,136980.0
TQBR,2014-10-31,0.0955,10910000,1037330.0
TQBR,2014-11-03,0.0935,1980000,185800.0
TQBR,2014-11-05,0.0945,9360000,873430.0
TQBR,2014-11-06,0.094,10640000,1015075.0
TQBR,2014-11-07,0.098,10850000,1020300.0
TQBR,2014-11-10,0.098,8300000,822125.0
TQBR,2014-11-11,0.0985,28290000,2785925.0
TQBR,2014-11-12,0.0945,11030000,1061065.0
TQBR,2014-11-13,0.097,8260000,796655.0
TQBR,2014-11-14,0.0955,8820000,850740.0
TQBR,2014-11-17,0.096,10380000,1010630.0
TQBR,2014-11-18,0.097,19510000,1904225.0
TQBR,2014-11-19,0.098,1320000,128185.0
TQBR,2014-11-20,0.097,2170000,212840.0
TQBR,2014-11-21,0.099,2960000,292290.0
TQBR,2014-11-24,0.0975,3730000,365215.0
TQBR,2014-11-25,0.098,9210000,897545.0
TQBR,2014-11-26,0.0985,940000,92200.0
TQBR,2014-11-27,0.098,2990000,292515.0
TQBR,2014-11-28,0.0995,5100000,524475.0
TQBR,2014-12-01,0.098,35560000,3553140.0
TQBR,2014-12-02,0.099,18050000,1796110.0
TQBR,2014-12-03,0.098,4080000,396605.0
TQBR,2014-12-04,0.097,8900000,854405.0
TQBR,2014-12-05,0.0955,10420000,993580.0
TQBR,2014-12-08,0.093,7300000,678485.0
TQBR,2014-12-09,0.092,21370000,1957670.0
TQBR,2014-12-10,0.095,2640000,249150.0
TQBR,2014-12-11,0.0915,4780000,437240.0
TQBR,2014-12-12,0.093,8000000,755985.0
TQBR,2014-12-15,0.091,9150000,832080.0
TQBR,2014-12-16,0.0845,12400000,1046960.0
TQBR,2014-12-17,0.0975,32810000,3185415.0
TQBR,2014-12-18,0.099,12640000,1225855.0
TQBR,2014-12-19,0.0975,9230000,911520.0
TQBR,2014-12-22,0.09,28420000,2590315.0
TQBR,2014-12-23,0.09,17390000,1548880.0
TQBR,2014-12-24,0.09,76150000,6789245.0
TQBR,2014-12-25,0.092,4620000,423425.0
TQBR,2014-12-26,0.0925,5550000,508315.0
TQBR,2014-12-29,0.0915,11960000,1101240.0
TQBR,2014-12-30,0.0915,4760000,430875.0
TQBR,2015-01-05,0.0915,3070000,282035.0
TQBR,2015-01-06,0.0975,5060000,478200.0
TQBR,2015-01-08,0.0975,17920000,1758210.0
TQBR,2015-01-09,0.099,7130000,701815.0
TQBR,2015-01-12,0.097,1690000,163555.0
TQBR,2015-01-13,0.1045,49960000,5280830.0
TQBR,2015-01-14,0.1085,10980000,1184995.0
TQBR,2015-01-15,0.107,1460000,155260.0
TQBR,2015-01-16,0.106,4440000,466485.0
TQBR,2015-01-19,0.1075,4360000,456285.0
TQBR,2015-01-20,0.1075,5950000,653040.0
TQBR,2015-01-21,0.1075,2190000,233580.0
TQBR,2015-01-22,0.1055,29350000,3053225.0
TQBR,2015-01-23,0.1045,5710000,599250.0
TQBR,2015-01-26,0.104,5480000,573045.0
TQBR,2015-01-27,0.1085,9780000,1052640.0
TQBR,2015-01-28,0.1095,3480000,382840.0
TQBR,2015-01-29,0.1115,3160000,339905.0
TQBR,2015-01-30,0.121,12570000,1481285.0
TQBR,2015-02-02,0.142,45440000,6086125.0
TQBR,2015-02-03,0.1645,94640000,15650350.0
TQBR,2015-02-04,0.159,36870000,6025545.0
TQBR,2015-02-05,0.144,77240000,10948130.0
TQBR,2015-02-06,0.144,29090000,4253770.0
TQBR,2015-02-09,0.15,19930000,3009015.0
TQBR,2015-02-10,0.152,7910000,1187825.0
TQBR,2015-02-11,0.156,8740000,1362340.0
TQBR,2015-02-12,0.159,7670000,1222540.0
TQBR,2015-02-13,0.1635,8860000,1424385.0
TQBR,2015-02-16,0.166,15870000,2610710.0
TQBR,2015-02-17,0.1635,13720000,2220675.0
TQBR,2015-02-18,0.166,5530000,909575.0
TQBR,2015-02-19,0.1615,11470000,1863395.0
TQBR,2015-02-20,0.162,2060000,332590.0
TQBR,2015-02-24,0.166,9550000,1572195.0
TQBR,2015-02-25,0.157,12970000,2046655.0
TQBR,2015-02-26,0.159,10950000,1735655.0
TQBR,2015-02-27,0.1625,3460000,556770.0
TQBR,2015-03-02,0.1605,2030000,328735.0
TQBR,2015-03-03,0.16,6030000,967150.0
TQBR,2015-03-04,0.1605,3870000,618910.0
TQBR,2015-03-05,0.1665,36290000,6100930.0
TQBR,2015-03-06,0.1665,14550000,2412830.0
TQBR,2015-03-10,0.162,25260000,4030175.0
TQBR,2015-03-11,0.1795,53950000,9479660.0
TQBR,2015-03-12,0.181,17560000,3183645.0
TQBR,2015-03-13,0.178,4850000,859570.0
TQBR,2015-03-16,0.175,10180000,1795775.0
TQBR,2015-03-17,0.1765,3800000,663175.0
TQBR,2015-03-18,0.179,2500000,446735.0
TQBR,2015-03-19,0.178,4200000,749535.0
TQBR,2015-03-20,0.178,5330000,949820.0
TQBR,2015-03-23,0.1725,9990000,1763820.0
TQBR,2015-03-24,0.1725,4490000,773255.0
TQBR,2015-03-25,0.1705,6270000,1065750.0
TQBR,2015-03-26,0.1615,19910000,3209375.0
TQBR,2015-03-27,0.165,16860000,2668840.0
TQBR,2015-03-30,0.1795,28850000,5059620.0
TQBR,2015-03-31,0.175,16860000,3020780.0
TQBR,2015-04-01,0.18,20930000,3701920.0
TQBR,2015-04-02,0.192,36510000,6787680.0
TQBR,2015-04-03,0.2665,204930000,48136700.0
TQBR,2015-04-06,0.269,135440000,37504400.0
TQBR,2015-04-07,0.261,87870000,22417910.0
TQBR,2015-04-08,0.26,57240000,14387850.0
TQBR,2015-04-09,0.255,52440000,13496650.0
TQBR,2015-04-10,0.243,26800000,6506225.0
TQBR,2015-04-13,0.261,70530000,17576775.0
TQBR,2015-04-14,0.259,24640000,6421470.0
TQBR,2015-04-15,0.261,25170000,6564705.0
TQBR,2015-04-16,0.269,75750000,20212840.0
TQBR,2015-04-17,0.2585,22800000,6051985.0
TQBR,2015-04-20,0.2625,48690000,13088115.0
TQBR,2015-04-21,0.2605,13060000,3378660.0
TQBR,2015-04-22,0.258,22700000,5926760.0
TQBR,2015-04-23,0.2505,22030000,5514265.0
TQBR,2015-04-24,0.241,30100000,7280040.0
TQBR,2015-04-27,0.248,30320000,7498555.0
TQBR,2015-04-28,0.2455,11790000,2917235.0
TQBR,2015-04-29,0.2485,35750000,8716495.0
TQBR,2015-04-30,0.2645,27980000,7286800.0
TQBR,2015-05-05,0.2605,14520000,3797630.0
TQBR,2015-05-06,0.256,17830000,4491775.0
TQBR,2015-05-07,0.2515,10240000,2592955.0
TQBR,2015-05-08,0.2585,20580000,5300620.0
TQBR,2015-05-12,0.2565,4660000,1205145.0
TQBR,2015-05-13,0.2615,12100000,3145405.0
TQBR,2015-05-14,0.2595,7140000,1853645.0
TQBR,2015-05-15,0.259,8020000,2092550.0
TQBR,2015-05-18,0.2525,19870000,5012180.0
TQBR,2015-05-19,0.245,8690000,2131675.0
TQBR,2015-05-20,0.244,16160000,3913435.0
TQBR,2015-05-21,0.2505,8390000,2054435.0
TQBR,2015-05-22,0.2775,84910000,23233940.0
TQBR,2015-05-25,0.279,106660000,30996670.0
TQBR,2015-05-26,0.2675,19850000,5392165.0
TQBR,2015-05-27,0.267,11150000,2951920.0
TQBR,2015-05-28,0.264,21530000,5841890.0
TQBR,2015-05-29,0.2585,40260000,10406475.0
TQBR,2015-06-01,0.2445,32720000,8147125.0
TQBR,2015-06-02,0.252,23330000,5637395.0
TQBR,2015-06-03,0.251,14670000,3657920.0
TQBR,2015-06-04,0.261,42650000,11045715.0
TQBR,2015-06-05,0.262,15140000,3944055.0
TQBR,2015-06-08,0.266,11650000,3054915.0
TQBR,2015-06-09,0.266,5510000,1463275.0
TQBR,2015-06-10,0.2685,9560000,2557030.0
TQBR,2015-06-11,0.272,12120000,3280535.0
TQBR,2015-06-15,0.274,53610000,14627360.0
TQBR,2015-06-16,0.2775,10280000,2803730.0
TQBR,2015-06-17,0.281,43610000,12252925.0
TQBR,2015-06-18,0.287,31640000,8973060.0
TQBR,2015-06-19,0.2905,48030000,13968780.0
TQBR,2015-06-22,0.28,40990000,11389965.0
TQBR,2015-06-23,0.249,48130000,12663800.0
TQBR,2015-06-24,0.277,34880000,9457475.0
TQBR,2015-06-25,0.285,25200000,7078890.0
TQBR,2015-06-26,0.25,42810000,11073660.0
TQBR,2015-06-29,0.268,45580000,12168285.0
TQBR,2015-06-30,0.276,17360000,4655930.0
TQBR,2015-07-01,0.282,46570000,12976130.0
TQBR,2015-07-02,0.2765,2500000,688585.0
TQBR,2015-07-03,0.274,650000,180385.0
TQBR,2015-07-06,0.285,47240000,13386735.0
TQBR,2015-07-07,0.29,32770000,9354580.0
TQBR,2015-07-08,0.2795,18620000,5180935.0
TQBR,2015-07-09,0.27,18050000,4895695.0
TQBR,2015-07-10,0.2675,13450000,3616745.0
TQBR,2015-07-13,0.2775,15260000,4156095.0
TQBR,2015-07-14,0.2775,2740000,761005.0
TQBR,2015-07-15,0.277,2860000,793430.0
TQBR,2015-07-16,0.273,8150000,2220815.0
TQBR,2015-07-17,0.2745,4870000,1325645.0
TQBR,2015-07-20,0.2755,14470000,4009355.0
TQBR,2015-07-21,0.274,38420000,10199785.0
TQBR,2015-07-22,0.2735,6000000,1633610.0
TQBR,2015-07-23,0.272,1530000,416545.0
TQBR,2015-07-24,0.27,11840000,3167960.0
TQBR,2015-07-27,0.2675,10820000,2884725.0
TQBR,2015-07-28,0.275,6390000,1726500.0
TQBR,2015-07-29,0.275,5330000,1470295.0
TQBR,2015-07-30,0.274,1920000,526635.0
TQBR,2015-07-31,0.275,3210000,874300.0
TQBR,2015-08-03,0.269,5350000,1449995.0
TQBR,2015-08-04,0.273,2440000,661055.0
TQBR,2015-08-05,0.2715,5740000,1551160.0
TQBR,2015-08-06,0.27,17750000,4732080.0
