BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-04-29,,0,0.0
TQBR,2015-04-30,710.0,86237,60863565.7
TQBR,2015-05-05,734.9,156,115167.8
TQBR,2015-05-06,711.3,149,106548.2
TQBR,2015-05-07,714.8,276,195342.3
TQBR,2015-05-08,714.9,10,7186.4
TQBR,2015-05-12,712.6,53,37470.1
TQBR,2015-05-13,704.1,956,670328.1
TQBR,2015-05-14,703.0,321,225667.9
TQBR,2015-05-15,706.9,13,9105.4
TQBR,2015-05-18,715.0,9409,6682547.9
TQBR,2015-05-19,700.8,116,81725.1
TQBR,2015-05-20,702.4,10924,7767759.7
TQBR,2015-05-21,721.0,24091,17239406.5
TQBR,2015-05-22,727.0,4505,3263047.0
TQBR,2015-05-25,739.9,714901,514764532.5
TQBR,2015-05-26,729.0,495,365209.3
TQBR,2015-05-27,777.7,716012,515597522.7
TQBR,2015-05-28,757.0,235,176309.9
TQBR,2015-05-29,740.0,741706,537707348.9
TQBR,2015-06-01,729.0,144573,104674347.6
TQBR,2015-06-02,724.0,18978,13732084.3
TQBR,2015-06-03,732.8,317,230603.8
TQBR,2015-06-04,720.0,463,335635.7
TQBR,2015-06-05,740.0,13,9619.7
TQBR,2015-06-08,724.0,1550,1124398.0
TQBR,2015-06-09,725.0,93,67352.0
TQBR,2015-06-10,724.0,48,34752.0
TQBR,2015-06-11,724.0,55,39847.0
TQBR,2015-06-15,724.0,1826,1311626.9
TQBR,2015-06-16,724.0,16,11589.0
TQBR,2015-06-17,725.0,8,5794.0
TQBR,2015-06-18,724.0,4,2897.0
TQBR,2015-06-19,725.0,659,477775.0
TQBR,2015-06-22,725.0,3719432,2692868770.0
TQBR,2015-06-23,727.0,257240,186244480.0
TQBR,2015-06-24,730.0,1026,746928.0
TQBR,2015-06-25,723.0,208,150384.1
TQBR,2015-06-26,727.0,16,11629.1
TQBR,2015-06-29,725.0,77,55905.0
TQBR,2015-06-30,728.0,3,2178.0
TQBR,2015-07-01,,0,0.0
TQBR,2015-07-02,,0,0.0
TQBR,2015-07-03,,0,0.0
TQBR,2015-07-06,725.0,6,4350.0
TQBR,2015-07-07,731.8,8,5848.4
TQBR,2015-07-08,723.0,239,173014.4
TQBR,2015-07-09,723.2,2,1446.4
TQBR,2015-07-10,,0,0.0
TQBR,2015-07-13,723.1,1,723.1
TQBR,2015-07-14,723.3,21,15244.3
TQBR,2015-07-15,723.2,36,26028.3
TQBR,2015-07-16,725.0,13,9404.2
TQBR,2015-07-17,725.0,3,2175.0
TQBR,2015-07-20,723.5,2630,1904195.5
TQBR,2015-07-21,725.0,1933,1400384.3
TQBR,2015-07-22,725.0,2799,2027275.0
TQBR,2015-07-23,722.0,2252,1626414.1
TQBR,2015-07-24,724.0,2002,1452450.0
TQBR,2015-07-27,721.0,2075,1498870.5
TQBR,2015-07-28,719.0,2110,1520256.9
TQBR,2015-07-29,722.0,1859,1342556.6
TQBR,2015-07-30,724.1,1632,1183047.6
TQBR,2015-07-31,720.0,1141,822038.5
TQBR,2015-08-03,720.9,2135,1539601.4
TQBR,2015-08-04,722.1,1702,1231563.3
TQBR,2015-08-05,725.0,1641,1190356.9
TQBR,2015-08-06,722.0,960,693551.0
