BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-11-26,139.0,111700,15357573.8
TQBR,2021-11-29,136.6,87670,11745157.2
TQBR,2021-11-30,130.0,30670,4118151.2
TQBR,2021-12-01,138.6,112090,15041041.4
TQBR,2021-12-02,137.56,109070,14935830.2
TQBR,2021-12-03,135.48,32870,4486324.2
TQBR,2021-12-06,134.44,73090,9799102.8
TQBR,2021-12-07,135.46,199970,27057701.2
TQBR,2021-12-08,135.38,97670,13229108.2
TQBR,2021-12-09,134.74,77230,10419626.6
TQBR,2021-12-10,133.26,91790,12289914.8
TQBR,2021-12-13,128.52,129800,17067216.8
TQBR,2021-12-14,128.84,237710,30583016.8
TQBR,2021-12-15,129.3,86570,11142624.4
TQBR,2021-12-16,131.3,69130,9014383.4
TQBR,2021-12-17,130.7,98780,12910059.0
TQBR,2021-12-20,122.96,421040,53136475.4
TQBR,2021-12-21,126.04,253800,31601069.8
TQBR,2021-12-22,125.64,232720,29291408.4
TQBR,2021-12-23,125.48,96390,12131082.8
TQBR,2021-12-24,124.98,46870,5859156.2
TQBR,2021-12-27,128.04,121380,15349565.8
TQBR,2021-12-28,127.98,113810,14638865.8
TQBR,2021-12-29,127.44,51680,6584499.0
TQBR,2021-12-30,129.1,49870,6394712.6
TQBR,2022-01-03,130.7,161240,21041785.0
TQBR,2022-01-04,131.26,52560,6901381.6
TQBR,2022-01-05,130.22,128240,16776656.0
TQBR,2022-01-06,130.44,151280,19704719.2
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,129.6,54840,7137299.6
TQBR,2022-01-11,129.5,43100,5580094.0
TQBR,2022-01-12,130.4,35860,4642582.6
TQBR,2022-01-13,126.96,277370,35704294.8
TQBR,2022-01-14,124.52,319860,40226825.6
TQBR,2022-01-17,124.9,13130,1638038.4
TQBR,2022-01-18,118.26,221590,26757264.2
TQBR,2022-01-19,120.26,263480,31590541.2
TQBR,2022-01-20,118.3,82770,9942814.8
TQBR,2022-01-21,117.36,74740,8874579.6
TQBR,2022-01-24,112.2,362360,41838637.6
TQBR,2022-01-25,110.42,229560,25546953.4
TQBR,2022-01-26,109.42,598070,67800857.4
TQBR,2022-01-27,112.4,219590,24274825.4
TQBR,2022-01-28,112.42,164770,18598530.8
TQBR,2022-01-31,114.6,130940,14982341.6
TQBR,2022-02-01,111.45,101740,11448840.0
TQBR,2022-02-02,109.3,166140,18442198.5
TQBR,2022-02-03,109.9,219470,24233353.0
TQBR,2022-02-04,109.65,218710,24061349.5
TQBR,2022-02-07,106.5,258380,27989411.0
TQBR,2022-02-08,108.8,231420,24958349.5
TQBR,2022-02-09,114.75,343150,38268663.0
TQBR,2022-02-10,115.9,452020,52401891.0
TQBR,2022-02-11,110.0,402120,45988832.5
TQBR,2022-02-14,112.3,288190,32499601.0
TQBR,2022-02-15,116.65,413450,47475813.0
TQBR,2022-02-16,115.7,293740,34184831.0
TQBR,2022-02-17,112.15,229020,26169737.0
TQBR,2022-02-18,105.5,285300,30997059.5
TQBR,2022-02-21,83.0,108440,11430331.0
TQBR,2022-02-22,108.0,177650,18141389.0
TQBR,2022-02-23,,0,0.0
TQBR,2022-02-24,80.55,135610,10285369.5
TQBR,2022-02-25,79.0,38300,3240083.5
TQBR,2022-02-28,,0,0.0
TQBR,2022-03-01,,0,0.0
TQBR,2022-03-02,,0,0.0
TQBR,2022-03-03,,0,0.0
TQBR,2022-03-04,,0,0.0
TQBR,2022-03-09,,0,0.0
TQBR,2022-03-10,,0,0.0
TQBR,2022-03-11,,0,0.0
TQBR,2022-03-14,,0,0.0
TQBR,2022-03-15,,0,0.0
TQBR,2022-03-16,,0,0.0
TQBR,2022-03-17,,0,0.0
TQBR,2022-03-18,,0,0.0
TQBR,2022-03-21,,0,0.0
TQBR,2022-03-22,,0,0.0
TQBR,2022-03-23,,0,0.0
TQBR,2022-03-24,,0,0.0
TQBR,2022-03-25,,0,0.0
TQBR,2022-03-28,,0,0.0
TQBR,2022-03-29,,0,0.0
TQBR,2022-03-30,93.5,154600,15577039.0
TQBR,2022-03-31,97.15,63350,6110146.5
TQBR,2022-04-01,94.15,68620,6515814.5
TQBR,2022-04-04,92.0,66930,6181308.5
TQBR,2022-04-05,89.9,27480,2464172.0
TQBR,2022-04-06,88.4,7920,700405.0
TQBR,2022-04-07,83.6,21190,1862349.0
TQBR,2022-04-08,82.55,84350,7189176.5
TQBR,2022-04-11,82.5,20720,1716937.5
TQBR,2022-04-12,80.8,15350,1217593.5
TQBR,2022-04-13,75.0,40610,3131876.5
TQBR,2022-04-14,71.4,57400,4146860.0
TQBR,2022-04-15,69.7,27070,1839897.0
TQBR,2022-04-18,67.85,26490,1820575.0
TQBR,2022-04-19,66.05,26570,1746181.0
TQBR,2022-04-20,66.1,19640,1304281.0
TQBR,2022-04-21,67.55,11250,753038.0
TQBR,2022-04-22,67.0,14170,945175.5
TQBR,2022-04-25,63.75,30300,1900487.0
TQBR,2022-04-26,63.65,15880,1023756.0
TQBR,2022-04-27,63.85,8760,569666.0
TQBR,2022-04-28,67.2,207520,14784191.5
TQBR,2022-04-29,63.8,47590,3186045.0
TQBR,2022-05-04,64.3,22340,1456742.0
TQBR,2022-05-05,63.1,14660,927309.0
