BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5.5,10000,55000
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,5.5,4000,22000
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,5.2,1000,5200
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,5.222,2000,10444
TQBR,2014-06-25,5.0,67000,335372
TQBR,2014-06-26,5.0,35000,175491
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,5.1,20000,102000
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,5.0,15000,75033
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,5.0,103000,515504
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,6.4,133000,748895
TQBR,2014-07-24,6.0,1000,6000
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,6.4,3000,19000
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,6.0,92000,570600
TQBR,2014-07-31,6.5,21000,136500
TQBR,2014-08-01,6.001,1000,6001
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,6.0,23000,138008
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,6.0,14000,81986
TQBR,2014-08-13,6.0,6000,35999
TQBR,2014-08-14,5.8,2000,11600
TQBR,2014-08-15,6.5,6000,36500
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,6.0,37000,209570
TQBR,2014-08-26,6.2,65000,403000
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,6.5,4000,25128
TQBR,2014-09-04,5.741,65000,357869
TQBR,2014-09-05,5.8,1000,5800
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,5.757,4000,23158
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,6.0,1000,6000
TQBR,2014-09-23,5.528,31000,166608
TQBR,2014-09-24,5.75,6000,35244
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,5.39,34000,178170
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,,0,0
TQBR,2014-10-07,5.32,1000,5320
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,5.5,2000,10990
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,5.15,50000,257570
TQBR,2014-10-14,5.65,7000,39550
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,5.8,53000,307060
TQBR,2014-10-20,5.8,33000,191400
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,5.52,479000,2755800
TQBR,2014-10-23,5.12,606000,3096030
TQBR,2014-10-24,5.1,7000,35790
TQBR,2014-10-27,,0,0
TQBR,2014-10-28,,0,0
TQBR,2014-10-29,5.42,13000,70120
TQBR,2014-10-30,5.27,1000,5270
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,,0,0
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,5.16,1000,5160
TQBR,2014-11-10,5.77,13000,75010
TQBR,2014-11-11,5.65,1000,5650
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,5.65,7000,39550
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,,0,0
TQBR,2014-11-18,5.65,4000,22600
TQBR,2014-11-19,5.7,1000,5700
TQBR,2014-11-20,,0,0
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,,0,0
TQBR,2014-11-25,5.25,48000,257150
TQBR,2014-11-26,5.11,3000,15410
TQBR,2014-11-27,,0,0
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,5.8,1000,5800
TQBR,2014-12-02,,0,0
TQBR,2014-12-03,5.85,1000,5850
TQBR,2014-12-04,5.51,4000,22710
TQBR,2014-12-05,,0,0
