BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2022-12-14,185.4,2824316,525018163.29
TQBR,2022-12-15,182.8,1001160,184237075.83
TQBR,2022-12-16,155.0,2727321,440381101.88
TQBR,2022-12-19,159.13,1042544,169676718.96
TQBR,2022-12-20,160.48,229501,37566843.29
TQBR,2022-12-21,160.67,390665,63855691.36
TQBR,2022-12-22,159.4,116264,18620506.17
TQBR,2022-12-23,158.0,71591,11381027.8
TQBR,2022-12-26,165.0,602990,99876398.59
TQBR,2022-12-27,162.7,122167,20021495.4
TQBR,2022-12-28,164.83,78662,13035024.54
TQBR,2022-12-29,166.02,104047,17279768.36
TQBR,2022-12-30,162.0,140478,22966970.1
TQBR,2023-01-03,166.0,118869,20080287.42
TQBR,2023-01-04,165.09,49568,8199407.57
TQBR,2023-01-05,164.89,24883,4102194.58
TQBR,2023-01-06,164.0,21539,3537065.32
TQBR,2023-01-09,163.9,38663,6328021.49
TQBR,2023-01-10,163.97,148854,24743959.15
TQBR,2023-01-11,162.87,121047,19615993.29
TQBR,2023-01-12,162.59,49430,8027830.75
TQBR,2023-01-13,162.75,70949,11613059.52
TQBR,2023-01-16,163.28,44475,7269457.99
TQBR,2023-01-17,162.38,85639,14042480.85
TQBR,2023-01-18,162.53,51663,8431907.43
TQBR,2023-01-19,163.6,59467,9697924.51
TQBR,2023-01-20,163.16,19087,3110771.06
TQBR,2023-01-23,162.81,36101,5877337.59
TQBR,2023-01-24,162.36,36134,5884026.11
TQBR,2023-01-25,160.6,88539,14219418.63
TQBR,2023-01-26,159.49,40990,6557571.8
TQBR,2023-01-27,159.21,43912,6997913.22
TQBR,2023-01-30,161.7,230538,37410897.4
TQBR,2023-01-31,162.43,68084,11047801.67
TQBR,2023-02-01,161.98,45371,7359416.32
TQBR,2023-02-02,161.91,72221,11669070.47
TQBR,2023-02-03,162.0,66342,10688402.78
TQBR,2023-02-06,176.2,1294679,226466482.73
TQBR,2023-02-07,171.47,347621,60537806.97
TQBR,2023-02-08,171.13,233327,39781665.94
TQBR,2023-02-09,168.35,80309,13597316.75
TQBR,2023-02-10,169.93,184749,31590331.37
TQBR,2023-02-13,172.9,132706,23014648.38
TQBR,2023-02-14,170.97,95601,16408769.74
TQBR,2023-02-15,164.1,89654,14949422.56
TQBR,2023-02-16,164.95,94107,15576244.71
TQBR,2023-02-17,166.13,293136,49314792.42
TQBR,2023-02-20,166.39,66086,11048779.57
TQBR,2023-02-21,168.68,225068,37760052.38
TQBR,2023-02-22,171.27,2118285,378953807.27
TQBR,2023-02-24,174.45,383177,67126991.56
TQBR,2023-02-27,177.7,204727,36272084.42
TQBR,2023-02-28,179.46,229342,41268606.02
TQBR,2023-03-01,182.4,712166,130784406.99
TQBR,2023-03-02,182.71,397213,72796081.32
TQBR,2023-03-03,181.0,140382,25569473.99
TQBR,2023-03-06,183.29,311773,57539831.94
TQBR,2023-03-07,189.03,837432,157206124.76
TQBR,2023-03-09,196.69,2444503,485077920.1
TQBR,2023-03-10,197.5,947160,188819030.28
TQBR,2023-03-13,196.09,408618,80892267.31
TQBR,2023-03-14,196.99,226519,44677234.36
TQBR,2023-03-15,193.49,181445,35447927.0
TQBR,2023-03-16,192.61,281518,54393304.58
TQBR,2023-03-17,189.87,347279,66427389.69
TQBR,2023-03-20,194.0,374765,72407077.25
TQBR,2023-03-21,194.22,237894,46071612.41
TQBR,2023-03-22,192.52,193658,37315777.29
TQBR,2023-03-23,197.57,422048,82937917.64
TQBR,2023-03-24,196.23,263606,52116966.97
TQBR,2023-03-27,203.3,1052065,213997807.0
TQBR,2023-03-28,202.6,283326,57592109.08
TQBR,2023-03-29,202.81,314722,64076746.58
TQBR,2023-03-30,202.95,160972,32687502.42
TQBR,2023-03-31,201.59,303637,60938635.33
TQBR,2023-04-03,202.72,177047,35896253.53
TQBR,2023-04-04,201.34,169072,34010079.24
TQBR,2023-04-05,201.0,194152,39022550.81
TQBR,2023-04-06,211.94,1615601,337542371.39
TQBR,2023-04-07,216.51,1445364,312053387.07
TQBR,2023-04-10,236.77,2584524,599883882.34
TQBR,2023-04-11,260.2,5666330,1449404270.49
TQBR,2023-04-12,257.7,2560883,670004427.28
TQBR,2023-04-13,243.0,1161921,286928414.32
TQBR,2023-04-14,253.55,1445234,364961729.17
TQBR,2023-04-17,254.79,994319,253579550.83
TQBR,2023-04-18,252.0,476920,120325030.68
TQBR,2023-04-19,246.85,673007,166183128.14
TQBR,2023-04-20,242.95,543111,131385300.19
TQBR,2023-04-21,242.0,509448,123570975.24
TQBR,2023-04-24,244.6,329740,80305228.66
TQBR,2023-04-25,244.25,183681,44948233.32
TQBR,2023-04-26,245.03,977235,242298835.86
TQBR,2023-04-27,240.86,399299,96461202.2
TQBR,2023-04-28,234.09,543465,127826099.54
TQBR,2023-05-02,224.5,857411,191277433.04
TQBR,2023-05-03,218.08,718625,157036736.39
TQBR,2023-05-04,213.48,474879,102876001.68
TQBR,2023-05-05,216.22,251711,54287490.66
TQBR,2023-05-08,210.6,214832,45337455.45
TQBR,2023-05-10,218.52,416811,91079815.96
TQBR,2023-05-11,224.44,554165,124427677.41
TQBR,2023-05-12,222.18,192580,42563621.38
TQBR,2023-05-15,226.9,755235,173075864.27
TQBR,2023-05-16,227.11,335392,76675870.29
TQBR,2023-05-17,223.2,302004,67661995.28
TQBR,2023-05-18,221.71,256439,56849856.15
TQBR,2023-05-19,214.56,484028,104482874.14
TQBR,2023-05-22,225.0,638442,140792849.95
TQBR,2023-05-23,225.04,335344,74947614.04
TQBR,2023-05-24,223.5,242482,54396842.31
TQBR,2023-05-25,222.22,153590,34264691.73
TQBR,2023-05-26,221.96,165261,36558803.12
TQBR,2023-05-29,223.22,281495,62973468.85
TQBR,2023-05-30,219.19,342280,75489779.63
