BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2025-01-09,2803.0,6661057,18605876495.5
TQBR,2025-01-10,2945.0,3454995,9928853671.0
TQBR,2025-01-13,2905.0,2120539,6277932539.5
TQBR,2025-01-14,2929.0,911219,2655837357.5
TQBR,2025-01-15,2904.5,694614,2024350049.5
TQBR,2025-01-16,2910.0,1282730,3745089026.5
TQBR,2025-01-17,2898.0,1161953,3359704639.0
TQBR,2025-01-20,2866.0,885908,2564986489.0
TQBR,2025-01-21,2930.0,1407145,4062827824.5
TQBR,2025-01-22,2914.0,860496,2517489394.0
TQBR,2025-01-23,2900.0,626933,1820780497.0
TQBR,2025-01-24,2909.5,786697,2286813252.0
TQBR,2025-01-27,2919.5,1017938,2980611594.5
TQBR,2025-01-28,3130.5,3609641,10945882636.5
TQBR,2025-01-29,3169.0,2062314,6502730682.0
TQBR,2025-01-30,3259.0,2894288,9361568823.0
TQBR,2025-01-31,3232.0,1560315,5050480704.0
TQBR,2025-02-03,3240.0,1014890,3294016575.5
TQBR,2025-02-04,3268.5,1275542,4163927380.0
TQBR,2025-02-05,3276.5,1275707,4168599512.0
TQBR,2025-02-06,3264.5,1121689,3657438042.5
TQBR,2025-02-07,3266.0,613710,2000935109.0
TQBR,2025-02-10,3267.5,1723277,5729109629.5
TQBR,2025-02-11,3318.5,1076594,3566014260.0
TQBR,2025-02-12,3440.0,2008114,6784916837.5
TQBR,2025-02-13,3419.0,2621433,9079829316.0
TQBR,2025-02-14,3406.5,1877552,6425824603.5
TQBR,2025-02-17,3470.0,1201150,4150524838.0
TQBR,2025-02-18,3430.0,811061,2791480012.0
TQBR,2025-02-19,3445.0,648394,2227927815.5
TQBR,2025-02-20,3449.5,647881,2235803126.0
TQBR,2025-02-21,3448.5,334231,1153575286.5
TQBR,2025-02-24,3438.5,772397,2657794550.5
TQBR,2025-02-25,3414.5,939476,3221311088.0
TQBR,2025-02-26,3299.0,1419337,4757297288.0
TQBR,2025-02-27,3222.5,1495848,4869844700.5
TQBR,2025-02-28,3334.0,1370411,4476318403.0
TQBR,2025-03-03,3257.0,1093921,3551056713.0
TQBR,2025-03-04,3348.5,1112001,3722952402.0
TQBR,2025-03-05,3322.5,912139,3043633322.0
TQBR,2025-03-06,3337.5,513723,1700725016.0
TQBR,2025-03-07,3393.0,1348015,4555280703.5
